MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
20,60,7200,4,5,1950,1950,0,0,0,0,0,1,1040,0,0,1040,0,0,1,0,2,1,4,0,1950,2,420,1,0,29,0,0,0,0,0,7,2006,109900
20,85,8500,5,3,1961,1961,203,600,0,635,1235,1,1235,0,0,1235,0,0,1,0,2,1,6,0,1961,2,480,1,0,0,0,0,0,0,0,12,2006,98600
30,80,13360,5,7,1921,2006,0,713,0,163,876,1,964,0,0,964,1,0,1,0,2,1,5,0,1921,2,432,1,0,0,44,0,0,0,0,8,2009,163500
190,60,7200,6,6,1910,1998,0,1046,0,168,1214,0,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900,2,506,1,0,0,0,0,99,0,0,11,2007,133900
60,69,9337,6,5,1997,1997,0,648,0,176,824,1,905,881,0,1786,1,0,2,1,3,1,7,0,1997,2,684,1,0,162,0,0,0,0,0,5,2007,204750
60,NA,9765,6,8,1993,1993,68,310,0,370,680,1,680,790,0,1470,0,0,2,1,3,1,6,1,1993,2,420,1,232,63,0,0,0,0,480,4,2009,185000
20,78,10264,7,5,1999,1999,183,1162,0,426,1588,1,1588,0,0,1588,0,0,2,0,3,1,6,0,1999,2,472,1,158,29,0,0,0,0,0,8,2006,214000
20,73,10921,4,5,1965,1965,48,520,0,440,960,1,960,0,0,960,1,0,1,0,3,1,6,0,1965,1,432,0.5,120,0,0,0,0,0,0,5,2007,94750
30,85,10625,5,5,1920,1950,0,108,0,350,458,0,835,0,0,835,0,0,1,0,2,1,5,0,1920,1,366,1,0,0,77,0,0,0,400,5,2010,83000
20,77,9320,4,5,1959,1959,0,569,0,381,950,1,1225,0,0,1225,1,0,1,1,3,1,6,0,NA,0,0,1,352,0,0,0,0,0,400,1,2010,128950
20,NA,10603,6,7,1977,2001,28,1200,0,410,1610,1,1610,0,0,1610,1,0,2,0,3,1,6,2,1977,2,480,1,168,68,0,0,0,0,0,2,2010,205000
60,77,9206,6,5,1985,1985,336,0,0,741,741,1,977,755,0,1732,0,0,2,1,3,1,7,1,1985,2,476,1,192,46,0,0,0,0,0,6,2010,178000
90,64,7018,5,5,1979,1979,0,0,0,0,0,1,1535,0,0,1535,0,0,2,0,4,2,8,0,1979,2,410,1,0,0,0,0,0,0,0,6,2009,118964
20,94,10402,7,5,2009,2009,0,0,0,1226,1226,1,1226,0,0,1226,0,0,2,0,3,1,6,0,2009,3,740,1,0,36,0,0,0,0,0,5,2010,198900
50,NA,7758,7,4,1931,1950,600,224,0,816,1040,1,1226,592,0,1818,0,0,1,1,4,1,7,2,1951,1,240,1,0,0,0,0,184,0,0,6,2007,169500
60,75,9375,8,5,2003,2004,768,0,0,1053,1053,1,1053,939,0,1992,0,0,2,1,3,1,9,1,2003,2,648,1,140,45,0,0,0,0,0,8,2008,250000
30,60,10800,4,7,1885,1995,0,0,0,641,641,1,1047,0,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,0,0,450,8,2007,100000
20,50,6000,5,5,1948,1950,0,104,169,516,789,1,789,0,0,789,0,0,1,0,2,1,5,0,1948,1,250,1,0,0,0,0,0,0,0,4,2008,115000
50,85,8500,5,7,1919,2005,0,0,0,793,793,0,997,520,0,1517,0,0,2,0,3,1,7,0,NA,0,0,0,0,0,144,0,0,0,0,8,2007,115000
20,105,11751,6,6,1977,1977,480,705,0,1139,1844,1,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,1,0,122,0,0,0,0,0,1,2010,190000
50,75,9525,6,4,1954,1972,0,444,0,550,994,1,1216,639,0,1855,0,0,2,0,4,1,7,0,1954,1,325,1,182,0,0,0,0,0,0,10,2006,136900
80,NA,7750,7,5,2000,2000,0,250,0,134,384,1,774,656,0,1430,0,0,2,1,3,1,7,1,2000,2,400,1,180,0,0,0,0,0,0,4,2010,180000
60,77,9965,7,5,2007,2007,220,984,0,280,1264,1,1282,1414,0,2696,1,0,2,1,4,1,10,1,2007,3,792,1,120,184,0,0,168,0,0,10,2007,383970
20,NA,21000,6,5,1953,1953,184,35,869,905,1809,1,2259,0,0,2259,1,0,2,0,3,1,7,2,1953,2,450,1,166,120,192,0,0,0,0,10,2007,217000
70,61,7259,6,8,1945,2002,0,774,150,104,1028,1,1436,884,0,2320,1,0,2,1,3,1,9,1,1945,1,180,1,224,0,0,0,0,0,0,7,2007,259500
160,34,3230,6,5,1999,1999,1129,419,0,310,729,1,729,729,0,1458,0,0,2,1,2,1,5,1,1999,2,440,1,0,32,0,0,0,0,0,6,2007,176000
20,NA,11616,5,5,1962,1962,116,170,670,252,1092,1,1092,0,0,1092,0,1,1,0,3,1,6,1,1962,1,288,1,0,20,144,0,0,0,0,9,2009,139000
20,74,8536,5,5,2006,2007,0,0,0,1125,1125,1,1125,0,0,1125,0,0,1,1,2,1,5,0,2007,2,430,1,80,64,0,0,0,0,0,4,2007,155000
60,90,12376,7,5,1990,1990,0,1470,0,203,1673,1,1699,1523,0,3222,1,0,3,0,5,1,11,2,1990,3,594,1,367,0,0,0,0,0,0,5,2010,320000
60,65,8461,6,5,2005,2006,0,0,0,728,728,1,728,728,0,1456,0,0,2,1,3,1,8,1,2005,2,390,1,0,24,0,0,0,0,0,7,2006,163990
80,NA,21453,6,5,1969,1969,0,938,0,0,938,1,988,0,0,988,1,0,1,0,1,1,4,2,1969,2,540,1,0,130,0,130,0,0,0,10,2006,180000
50,50,6060,4,5,1939,1950,0,0,0,732,732,1,772,351,0,1123,0,0,1,0,3,1,4,0,1979,1,264,0.5,0,0,140,0,0,0,0,6,2007,100000
20,75,9464,6,7,1958,1958,135,570,0,510,1080,1,1080,0,0,1080,0,0,1,0,3,1,5,0,1958,1,288,1,0,0,0,0,130,0,0,6,2008,136000
120,55,7892,6,5,1993,1993,0,300,0,899,1199,1,1199,0,0,1199,0,0,2,0,2,1,5,0,1993,2,530,1,0,63,0,0,0,0,0,3,2008,153900
20,48,17043,6,5,1979,1998,0,0,0,1362,1362,1,1586,0,0,1586,0,0,2,0,3,1,7,1,1979,2,435,1,192,0,0,0,0,0,0,1,2009,181000
190,60,6780,6,8,1935,1982,0,490,0,30,520,0,520,0,234,754,1,0,1,0,2,1,5,0,NA,0,0,0,53,0,0,0,0,0,0,6,2006,84500
120,NA,4928,6,5,1976,1976,0,120,0,958,1078,1,958,0,0,958,0,0,2,0,2,1,5,1,1977,2,440,1,0,205,0,0,0,0,0,2,2007,128000
45,55,4388,5,7,1930,1950,0,116,0,556,672,1,840,0,0,840,0,0,1,0,3,1,5,1,NA,0,0,0,0,0,0,0,0,0,0,6,2007,87000
60,69,7590,6,5,1966,1966,266,512,0,148,660,1,660,688,0,1348,0,0,1,1,3,1,6,1,1966,2,453,1,188,108,0,0,0,0,0,7,2006,155000
20,69,8973,5,7,1958,1991,85,567,28,413,1008,1,1053,0,0,1053,0,1,1,1,3,1,6,0,1998,2,750,1,0,80,0,180,0,0,0,7,2006,150000
60,88,14200,7,6,1966,1966,309,445,0,479,924,1,1216,941,0,2157,0,0,2,1,4,1,8,2,1966,2,487,1,105,66,0,0,0,0,0,5,2006,226000
60,NA,12224,6,5,2000,2000,40,695,0,297,992,1,1022,1032,0,2054,1,0,2,1,3,1,7,1,2000,2,390,1,24,48,0,0,0,0,0,7,2009,244000
20,75,7388,5,6,1959,2002,0,405,0,658,1063,1,1327,0,0,1327,1,0,1,0,3,1,7,0,1974,2,624,1,0,0,0,0,0,0,0,7,2007,150750
20,NA,6853,8,5,2001,2002,136,1005,0,262,1267,1,1296,0,0,1296,1,0,2,0,2,1,6,0,2001,2,471,1,192,25,0,0,0,0,0,6,2009,220000
20,78,10335,5,6,1968,1993,0,570,0,891,1461,1,1721,0,0,1721,0,0,2,1,3,1,7,1,1968,2,440,1,0,96,180,0,0,0,0,7,2006,180000
20,80,10400,7,6,1970,1970,288,0,0,1304,1304,1,1682,0,0,1682,0,0,2,0,3,1,7,1,1970,2,530,1,98,0,0,0,0,0,0,5,2008,174000
20,NA,10355,5,5,1967,1967,196,695,0,519,1214,1,1214,0,0,1214,0,0,2,0,3,1,5,1,1967,1,318,1,0,111,0,0,0,0,0,7,2007,143000
90,82,11070,7,5,1988,1989,70,0,0,1907,1907,1,1959,0,0,1959,0,0,3,0,5,2,9,0,1989,3,766,1,0,0,0,0,0,0,0,7,2006,171000
60,73,9066,8,5,1999,2000,320,668,0,336,1004,1,1004,848,0,1852,0,0,2,1,3,1,7,2,1999,3,660,1,224,106,0,0,0,0,0,12,2008,230000
60,65,15426,6,5,1997,1997,0,821,0,107,928,1,928,836,0,1764,1,0,2,1,3,1,7,0,1997,2,470,1,276,99,0,0,0,0,0,8,2009,231500
20,70,10500,4,5,1971,1971,0,432,0,432,864,1,864,0,0,864,0,0,1,0,3,1,5,1,NA,0,0,1,0,0,0,0,0,0,0,4,2010,115000
20,78,11645,7,5,2005,2005,0,1300,0,434,1734,1,1734,0,0,1734,1,0,2,0,3,1,7,0,2005,2,660,1,160,24,0,0,0,0,0,1,2006,260000
50,71,8520,5,4,1952,1952,0,507,0,403,910,1,910,475,0,1385,0,0,2,0,4,1,6,0,2000,2,720,1,0,0,0,0,0,0,0,6,2010,166000
20,78,10335,7,5,1999,1999,183,679,0,811,1490,1,1501,0,0,1501,1,0,2,0,3,1,6,0,1999,2,577,1,144,29,0,0,0,0,0,6,2009,204000
90,70,9100,5,5,1963,1963,336,1332,0,396,1728,1,1728,0,0,1728,1,0,2,0,6,2,10,0,1963,2,504,1,0,0,0,0,0,0,0,11,2006,125000
160,24,2522,6,5,2004,2006,50,0,0,970,970,1,970,739,0,1709,0,0,2,0,3,1,7,0,2004,2,380,1,0,40,0,0,0,0,0,4,2006,130000
30,51,6120,5,7,1931,1993,0,209,0,506,715,1,875,0,0,875,1,0,1,0,2,1,5,0,1931,1,180,1,48,0,0,0,0,0,0,11,2009,105000
60,NA,9505,7,5,2001,2001,180,0,0,884,884,1,884,1151,0,2035,0,0,2,1,3,1,8,1,2001,2,434,1,144,48,0,0,0,0,0,5,2010,222500
20,63,7500,7,5,2004,2005,120,680,0,400,1080,1,1080,0,0,1080,1,0,1,0,3,1,6,0,NA,0,0,1,0,0,0,0,0,0,0,4,2008,141000
50,NA,6240,5,4,1936,1950,0,0,0,896,896,1,896,448,0,1344,0,0,1,0,3,1,7,0,1936,1,240,1,200,114,0,0,0,0,0,4,2006,115000
20,120,10356,5,6,1975,1975,0,716,0,253,969,1,969,0,0,969,0,0,1,1,3,1,5,0,1975,2,440,1,0,0,0,0,0,0,0,1,2007,122000
20,107,13891,8,5,2007,2008,436,1400,0,310,1710,1,1710,0,0,1710,1,0,2,0,2,1,6,1,2007,3,866,1,0,102,0,0,0,0,0,1,2008,372402
60,NA,14803,6,5,1971,1971,252,416,0,409,825,1,1097,896,0,1993,0,0,2,1,4,1,8,1,1971,2,495,1,0,66,0,0,0,0,0,6,2006,190000
20,NA,13500,6,7,1960,1975,0,429,1080,93,1602,1,1252,0,0,1252,1,0,1,0,1,1,4,1,1960,2,564,1,409,0,0,0,0,0,0,3,2008,235000
